id,mkturk_id,task_chicken_T1,task_chicken_T2,survey_demo_T1,survey_demo_T2,survey_phq_T1,survey_phq_T2,survey_oasis_T1,survey_oasis_T2,survey_panas_T1,survey_panas_T2,survey_panasx_T1,survey_panasx_T2
1268,A3R19ZA45J8915,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1271,A1DJDT4B5B19Q2,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1275,A1Z7DOVT6CYAL6,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1279,A3B9OZQTE4US3T,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1281,A2OAZPREKF6PQR,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1284,MO,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1288,A9YQQIZRWVPIT,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1290,A3LMI7ZDFO8JHR,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1292,A1LJKHC0NH9TIX,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1297,A38NFX88VZDMJ3,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1298,A1FW68HLKWGLGW,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1301,A20PV3RB3I0W8S,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1305,AJFS39RTZY3LC,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1311,AYJGQBBK6KXZ7,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1314,AMUC6OI4A2GY4,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1315,a2h4hydu6ffamq,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1319,A1NOINYD1FZ55T,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1326,A175ZTL2OZO9YU,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1329,A258MR1IS96JEP,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1336,A37Y5CTJ8HCQER,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1341,'A1LJKHC0NH9TIX',NULL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1344,'AF6WFN2THVM4A',NULL,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES
1356,A2BNOEYZ3VRW2R,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1362,A2MWAXV1YRK5GH,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1366,A681XM15AN28F,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1369,A9KSSJXDB6GPE,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1374,A3GNQDFPZALU92,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1377,A1V6CP5I0TOSAR,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1380,A2KXARDIOGJL8T,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1384,A2O5PN17VNYXI0,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1391,A3G0Q633CHZ92L,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1395,A1IXQS0AB02CPA,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1399,A3QI1RV4HQ9MOC,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1402,A2VX8B1CJXRN2,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1408,A16FIPBHBYLFKY,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1410,A3GW3MPLVGG7PZ,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1414,A2LKL8MNCVTPXD,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1420,A1TYDVHEFPZC86,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1425,A2MFMT03E21ZIT,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1428,A1VIKMTWX0JA3E,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1431,A177IPRYZAEFH6,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1440,A1R8A1ZKR80MRA,YES,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1444,A2W3A42TRMJ861,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1447,A2QH1BQA6GR48O,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1450,A2A9JD9UV8DQZX,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1453,A31YZ8JR422KFR,YES,YES,YES,YES,NULL,NULL,NULL,NULL,NULL,NULL,YES,YES
1456,A1S68DTVE9GU76,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,YES,NULL
1461,A15W8HI3MNQWG4,NULL,NULL,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1468,COPIEDA37WDOIQH6JM6V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
