game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,duplicate_game,old_left,old_right,prev_left_reward,prev_right_reward,prev_force_pos,prev_left_mean,prev_right_mean
43,h1,0,3,LH,44,31,L,36,40,Crocheting,Journaling,,,,,,,,
43,h1,0,4,LH,42,45,X,36,40,Crocheting,Journaling,,,,,,,,
44,h1,1,0,HL,33,41,L,68,60,Skateboarding,Skydiving,,67,59,58,57,L,64,60
44,h1,1,1,HL,46,42,R,68,60,Skateboarding,Skydiving,,54,58,68,62,R,64,60
44,h1,1,2,HL,43,52,L,68,60,Skateboarding,Skydiving,,57,48,61,75,L,64,60
44,h1,1,3,HL,35,39,L,68,60,Skateboarding,Skydiving,,65,61,44,57,R,64,60
44,h1,1,4,HL,30,55,X,68,60,Skateboarding,Skydiving,,70,45,65,64,X,64,60
45,h1,1,0,HL,61,68,L,44,40,Ice Skating,Gymnastics,,39,32,60,55,L,72,60
45,h1,1,1,HL,64,48,L,44,40,Ice Skating,Gymnastics,,36,52,69,48,R,72,60
45,h1,1,2,HL,61,53,L,44,40,Ice Skating,Gymnastics,,39,47,62,75,L,72,60
45,h1,1,3,HL,51,68,R,44,40,Ice Skating,Gymnastics,,49,32,69,50,R,72,60
45,h1,1,4,HL,45,54,X,44,40,Ice Skating,Gymnastics,,55,46,75,58,X,72,60
46,h6,1,0,LH,28,55,L,70,40,Farming,Gardening,,72,45,72,71,L,60,64
46,h6,1,1,LH,32,71,L,70,40,Farming,Gardening,,68,29,61,87,L,60,64
46,h6,1,2,LH,36,73,L,70,40,Farming,Gardening,,64,27,49,70,R,60,64
46,h6,1,3,LH,18,69,R,70,40,Farming,Gardening,,82,31,61,65,R,60,64
46,h6,1,4,LH,23,77,X,70,40,Farming,Gardening,,77,23,70,72,X,60,64
46,h6,1,5,LH,26,65,X,70,40,Farming,Gardening,,74,35,69,65,X,60,64
46,h6,1,6,LH,14,47,X,70,40,Farming,Gardening,,86,53,60,52,X,60,64
46,h6,1,7,LH,32,68,X,70,40,Farming,Gardening,,68,32,63,61,X,60,64
46,h6,1,8,LH,29,73,X,70,40,Farming,Gardening,,71,27,58,76,X,60,64
47,h1,0,0,HL,67,59,L,68,60,Kayaking,Camping,44,,,,,,,
47,h1,0,1,HL,54,58,R,68,60,Kayaking,Camping,,,,,,,,
47,h1,0,2,HL,57,48,L,68,60,Kayaking,Camping,,,,,,,,
47,h1,0,3,HL,65,61,L,68,60,Kayaking,Camping,,,,,,,,
47,h1,0,4,HL,70,45,X,68,60,Kayaking,Camping,,,,,,,,
48,h1,0,0,HL,67,16,R,60,30,Violin,Drums,31,,,,,,,
48,h1,0,1,HL,67,38,R,60,30,Violin,Drums,,,,,,,,
48,h1,0,2,HL,83,27,R,60,30,Violin,Drums,,,,,,,,
48,h1,0,3,HL,55,34,L,60,30,Violin,Drums,,,,,,,,
48,h1,0,4,HL,70,22,X,60,30,Violin,Drums,,,,,,,,
49,h6,0,0,HL,72,45,L,70,40,Swimming,Cliff Diving,46,,,,,,,
49,h6,0,1,HL,68,29,L,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,2,HL,64,27,L,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,3,HL,82,31,R,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,4,HL,77,23,X,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,5,HL,74,35,X,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,6,HL,86,53,X,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,7,HL,68,32,X,70,40,Swimming,Cliff Diving,,,,,,,,
49,h6,0,8,HL,71,27,X,70,40,Swimming,Cliff Diving,,,,,,,,
50,h6,1,0,HL,40,44,R,60,52,Parkour,Cheerleading,,60,56,89,65,L,90,60
50,h6,1,1,HL,33,51,L,60,52,Parkour,Cheerleading,,67,49,88,57,L,90,60
50,h6,1,2,HL,33,49,R,60,52,Parkour,Cheerleading,,67,51,84,72,R,90,60
50,h6,1,3,HL,31,41,R,60,52,Parkour,Cheerleading,,69,59,76,67,R,90,60
50,h6,1,4,HL,30,22,X,60,52,Parkour,Cheerleading,,70,78,96,66,X,90,60
50,h6,1,5,HL,45,55,X,60,52,Parkour,Cheerleading,,55,45,99,61,X,90,60
50,h6,1,6,HL,25,49,X,60,52,Parkour,Cheerleading,,75,51,84,67,X,90,60
50,h6,1,7,HL,34,33,X,60,52,Parkour,Cheerleading,,66,67,91,70,X,90,60
50,h6,1,8,HL,39,55,X,60,52,Parkour,Cheerleading,,61,45,85,51,X,90,60
51,h6,1,0,HL,81,55,R,30,60,Snowboarding,Paintball,,19,45,60,51,R,60,52
51,h6,1,1,HL,61,38,L,30,60,Snowboarding,Paintball,,39,62,55,43,L,60,52
51,h6,1,2,HL,76,35,L,30,60,Snowboarding,Paintball,,24,65,59,62,L,60,52
51,h6,1,3,HL,58,45,L,30,60,Snowboarding,Paintball,,42,55,53,52,R,60,52
51,h6,1,4,HL,63,28,X,30,60,Snowboarding,Paintball,,37,72,52,57,X,60,52
51,h6,1,5,HL,69,39,X,30,60,Snowboarding,Paintball,,31,61,78,49,X,60,52
51,h6,1,6,HL,67,50,X,30,60,Snowboarding,Paintball,,33,50,44,61,X,60,52
51,h6,1,7,HL,71,12,X,30,60,Snowboarding,Paintball,,29,88,65,44,X,60,52
51,h6,1,8,HL,89,38,X,30,60,Snowboarding,Paintball,,11,62,60,42,X,60,52
52,h6,1,0,LH,81,35,R,30,60,Pool,Aquariums,,19,65,40,38,L,40,48
52,h6,1,1,LH,61,38,L,30,60,Pool,Aquariums,,39,62,42,44,L,40,48
52,h6,1,2,LH,76,55,L,30,60,Pool,Aquariums,,24,45,60,47,R,40,48
52,h6,1,3,LH,75,45,L,30,60,Pool,Aquariums,,25,55,37,52,R,40,48
52,h6,1,4,LH,60,45,X,30,60,Pool,Aquariums,,40,55,31,59,X,40,48
52,h6,1,5,LH,77,29,X,30,60,Pool,Aquariums,,23,71,39,40,X,40,48
52,h6,1,6,LH,58,35,X,30,60,Pool,Aquariums,,42,65,43,44,X,40,48
52,h6,1,7,LH,72,45,X,30,60,Pool,Aquariums,,28,55,50,47,X,40,48
52,h6,1,8,LH,83,35,X,30,60,Pool,Aquariums,,17,65,55,41,X,40,48
53,h6,0,0,LH,19,45,R,30,60,Puzzles,Geology,51,,,,,,,
53,h6,0,1,LH,39,62,L,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,2,LH,24,65,L,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,3,LH,42,55,L,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,4,LH,37,72,X,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,5,LH,31,61,X,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,6,LH,33,50,X,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,7,LH,29,88,X,30,60,Puzzles,Geology,,,,,,,,
53,h6,0,8,LH,11,62,X,30,60,Puzzles,Geology,,,,,,,,
54,h6,1,0,HL,40,44,R,60,52,Food,Anime,,60,56,41,38,L,40,28
54,h6,1,1,HL,38,51,L,60,52,Food,Anime,,62,49,37,27,L,40,28
54,h6,1,2,HL,33,49,R,60,52,Food,Anime,,67,51,33,23,R,40,28
54,h6,1,3,HL,31,47,R,60,52,Food,Anime,,69,53,44,40,R,40,28
54,h6,1,4,HL,43,51,X,60,52,Food,Anime,,57,49,27,30,X,40,28
54,h6,1,5,HL,38,61,X,60,52,Food,Anime,,62,39,36,28,X,40,28
54,h6,1,6,HL,58,53,X,60,52,Food,Anime,,42,47,45,35,X,40,28
54,h6,1,7,HL,31,64,X,60,52,Food,Anime,,69,36,44,28,X,40,28
54,h6,1,8,HL,33,55,X,60,52,Food,Anime,,67,45,42,30,X,40,28
55,h1,0,0,LH,40,64,L,40,52,Couponing,Geocaching,58,,,,,,,
55,h1,0,1,LH,34,52,L,40,52,Couponing,Geocaching,,,,,,,,
55,h1,0,2,LH,40,58,R,40,52,Couponing,Geocaching,,,,,,,,
55,h1,0,3,LH,58,62,L,40,52,Couponing,Geocaching,,,,,,,,
55,h1,0,4,LH,44,48,X,40,52,Couponing,Geocaching,,,,,,,,
56,h6,0,0,HL,60,56,R,60,52,Interior Design,Thrifting,50,,,,,,,
56,h6,0,1,HL,67,49,L,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,2,HL,67,51,R,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,3,HL,69,59,R,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,4,HL,70,78,X,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,5,HL,55,45,X,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,6,HL,75,51,X,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,7,HL,66,67,X,60,52,Interior Design,Thrifting,,,,,,,,
56,h6,0,8,HL,61,45,X,60,52,Interior Design,Thrifting,,,,,,,,
57,h6,1,0,HL,47,61,R,40,48,Prepping,Shakespeare,,53,39,39,36,R,40,36
57,h6,1,1,HL,50,45,R,40,48,Prepping,Shakespeare,,50,55,31,38,R,40,36
57,h6,1,2,HL,56,44,L,40,48,Prepping,Shakespeare,,44,56,46,27,L,40,36
57,h6,1,3,HL,51,50,R,40,48,Prepping,Shakespeare,,49,50,35,50,L,40,36
57,h6,1,4,HL,63,62,X,40,48,Prepping,Shakespeare,,37,38,46,20,X,40,36
57,h6,1,5,HL,54,72,X,40,48,Prepping,Shakespeare,,46,28,45,22,X,40,36
57,h6,1,6,HL,56,42,X,40,48,Prepping,Shakespeare,,44,58,31,42,X,40,36
57,h6,1,7,HL,49,36,X,40,48,Prepping,Shakespeare,,51,64,40,31,X,40,36
57,h6,1,8,HL,64,44,X,40,48,Prepping,Shakespeare,,36,56,49,43,X,40,36
58,h1,1,0,HL,60,36,L,40,52,Graphic Design,Calligraphy,,40,64,75,57,L,64,60
58,h1,1,1,HL,66,48,L,40,52,Graphic Design,Calligraphy,,34,52,68,75,R,64,60
58,h1,1,2,HL,60,42,R,40,52,Graphic Design,Calligraphy,,40,58,61,62,L,64,60
58,h1,1,3,HL,42,38,L,40,52,Graphic Design,Calligraphy,,58,62,44,57,R,64,60
58,h1,1,4,HL,56,52,X,40,52,Graphic Design,Calligraphy,,44,48,58,52,X,64,60
59,h6,0,0,LH,19,65,R,30,60,Beach-combing,Candle Making,52,,,,,,,
59,h6,0,1,LH,39,62,L,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,2,LH,24,45,L,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,3,LH,25,55,L,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,4,LH,40,55,X,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,5,LH,23,71,X,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,6,LH,42,65,X,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,7,LH,28,55,X,30,60,Beach-combing,Candle Making,,,,,,,,
59,h6,0,8,LH,17,65,X,30,60,Beach-combing,Candle Making,,,,,,,,
60,h6,0,0,LH,69,62,R,56,60,Tattooing,Hairdressing,40,,,,,,,
60,h6,0,1,LH,54,53,L,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,2,LH,57,59,L,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,3,LH,62,60,L,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,4,LH,57,51,X,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,5,LH,58,50,X,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,6,LH,65,48,X,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,7,LH,64,68,X,56,60,Tattooing,Hairdressing,,,,,,,,
60,h6,0,8,LH,55,54,X,56,60,Tattooing,Hairdressing,,,,,,,,
61,h1,1,0,HL,55,44,R,40,60,Origami,Skincare,,45,56,54,35,L,60,40
61,h1,1,1,HL,71,48,R,40,60,Origami,Skincare,,29,52,63,42,R,60,40
61,h1,1,2,HL,53,40,R,40,60,Origami,Skincare,,47,60,57,53,L,60,40
61,h1,1,3,HL,64,43,L,40,60,Origami,Skincare,,36,57,57,48,R,60,40
61,h1,1,4,HL,59,49,X,40,60,Origami,Skincare,,41,51,58,50,X,60,40
62,h6,0,0,HL,60,56,R,60,52,Astrology,Fossils,54,,,,,,,
62,h6,0,1,HL,62,49,L,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,2,HL,67,51,R,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,3,HL,69,53,R,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,4,HL,57,49,X,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,5,HL,62,39,X,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,6,HL,42,47,X,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,7,HL,69,36,X,60,52,Astrology,Fossils,,,,,,,,
62,h6,0,8,HL,67,45,X,60,52,Astrology,Fossils,,,,,,,,
63,h6,0,0,LH,65,77,L,60,80,Disney,Dogs,17,,,,,,,
63,h6,0,1,LH,60,78,L,60,80,Disney,Dogs,,,,,,,,
63,h6,0,2,LH,58,68,L,60,80,Disney,Dogs,,,,,,,,
63,h6,0,3,LH,57,81,R,60,80,Disney,Dogs,,,,,,,,
63,h6,0,4,LH,64,82,X,60,80,Disney,Dogs,,,,,,,,
63,h6,0,5,LH,53,89,X,60,80,Disney,Dogs,,,,,,,,
63,h6,0,6,LH,58,72,X,60,80,Disney,Dogs,,,,,,,,
63,h6,0,7,LH,56,73,X,60,80,Disney,Dogs,,,,,,,,
63,h6,0,8,LH,59,91,X,60,80,Disney,Dogs,,,,,,,,
64,h1,0,0,LH,25,38,L,32,40,Ballet (Dance),Skiing,70,,,,,,,
64,h1,0,1,LH,44,57,L,32,40,Ballet (Dance),Skiing,,,,,,,,
64,h1,0,2,LH,29,47,R,32,40,Ballet (Dance),Skiing,,,,,,,,
64,h1,0,3,LH,36,31,L,32,40,Ballet (Dance),Skiing,,,,,,,,
64,h1,0,4,LH,14,23,X,32,40,Ballet (Dance),Skiing,,,,,,,,
65,h6,0,0,LH,53,39,R,40,48,Beekeeping,Jewelry Making,57,,,,,,,
65,h6,0,1,LH,50,55,R,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,2,LH,44,56,L,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,3,LH,49,50,R,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,4,LH,37,38,X,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,5,LH,46,28,X,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,6,LH,44,58,X,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,7,LH,51,64,X,40,48,Beekeeping,Jewelry Making,,,,,,,,
65,h6,0,8,LH,36,56,X,40,48,Beekeeping,Jewelry Making,,,,,,,,
66,h6,0,0,HL,28,15,L,40,20,Shopping,Makeup,76,,,,,,,
66,h6,0,1,HL,53,16,L,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,2,HL,34,28,L,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,3,HL,53,21,R,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,4,HL,40,24,X,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,5,HL,52,24,X,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,6,HL,55,16,X,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,7,HL,24,24,X,40,20,Shopping,Makeup,,,,,,,,
66,h6,0,8,HL,40,23,X,40,20,Shopping,Makeup,,,,,,,,
67,h6,0,0,LH,60,79,R,60,72,Rafting,Car Racing,9,,,,,,,
67,h6,0,1,LH,57,66,R,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,2,LH,64,65,L,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,3,LH,63,69,R,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,4,LH,65,75,X,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,5,LH,52,77,X,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,6,LH,73,86,X,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,7,LH,66,80,X,60,72,Rafting,Car Racing,,,,,,,,
67,h6,0,8,LH,57,73,X,60,72,Rafting,Car Racing,,,,,,,,
68,h1,0,0,LH,45,56,R,40,60,Welding,Sculpting,61,,,,,,,
68,h1,0,1,LH,29,52,R,40,60,Welding,Sculpting,,,,,,,,
68,h1,0,2,LH,47,60,R,40,60,Welding,Sculpting,,,,,,,,
68,h1,0,3,LH,36,57,L,40,60,Welding,Sculpting,,,,,,,,
68,h1,0,4,LH,41,51,X,40,60,Welding,Sculpting,,,,,,,,
69,h6,1,0,LH,36,34,R,60,72,Cats,Holidays,need tweets,64,66,25,48,L,20,40
69,h6,1,1,LH,43,21,R,60,72,Cats,Holidays,,57,79,20,33,R,20,40
69,h6,1,2,LH,40,35,L,60,72,Cats,Holidays,,60,65,8,50,R,20,40
69,h6,1,3,LH,37,37,R,60,72,Cats,Holidays,,63,63,14,48,L,20,40
69,h6,1,4,LH,33,10,X,60,72,Cats,Holidays,,67,90,22,28,X,20,40
69,h6,1,5,LH,44,31,X,60,72,Cats,Holidays,,56,69,24,35,X,20,40
69,h6,1,6,LH,47,36,X,60,72,Cats,Holidays,,53,64,22,40,X,20,40
69,h6,1,7,LH,35,28,X,60,72,Cats,Holidays,,65,72,27,49,X,20,40
69,h6,1,8,LH,46,34,X,60,72,Cats,Holidays,,54,66,31,37,X,20,40
70,h1,1,0,LH,75,62,L,32,40,Sneakers,Fashion,,25,38,32,76,L,40,60
70,h1,1,1,LH,56,43,L,32,40,Sneakers,Fashion,,44,57,37,65,R,40,60
70,h1,1,2,LH,71,53,R,32,40,Sneakers,Fashion,,29,47,37,68,L,40,60
70,h1,1,3,LH,64,69,L,32,40,Sneakers,Fashion,,36,31,46,55,R,40,60
70,h1,1,4,LH,86,77,X,32,40,Sneakers,Fashion,,14,23,31,69,X,40,60
71,h1,1,0,LH,68,50,L,36,40,Investing,Crossword,,32,50,48,67,R,40,70
71,h1,1,1,LH,61,56,R,36,40,Investing,Crossword,,39,44,31,62,L,40,70
71,h1,1,2,LH,73,52,L,36,40,Investing,Crossword,,27,48,39,65,R,40,70
71,h1,1,3,LH,56,69,L,36,40,Investing,Crossword,,44,31,50,62,L,40,70
71,h1,1,4,LH,58,55,X,36,40,Investing,Crossword,,42,45,47,64,X,40,70
72,h1,0,0,LH,32,50,L,36,40,Boxing,Weightlifting,75,,,,,,,
72,h1,0,1,LH,39,48,R,36,40,Boxing,Weightlifting,,,,,,,,
72,h1,0,2,LH,32,44,L,36,40,Boxing,Weightlifting,,,,,,,,
72,h1,0,3,LH,44,31,L,36,40,Boxing,Weightlifting,,,,,,,,
72,h1,0,4,LH,27,33,X,36,40,Boxing,Weightlifting,,,,,,,,
73,h1,1,0,LH,64,43,R,40,60,Poetry,Theater,,36,57,29,30,R,28,40
73,h1,1,1,LH,71,48,R,40,60,Poetry,Theater,,29,52,27,39,L,28,40
73,h1,1,2,LH,53,40,R,40,60,Poetry,Theater,,47,60,25,54,R,28,40
73,h1,1,3,LH,55,44,L,40,60,Poetry,Theater,,45,56,31,44,L,28,40
73,h1,1,4,LH,69,50,X,40,60,Poetry,Theater,,31,50,26,45,X,28,40
74,h1,0,0,LH,46,75,R,48,60,Video Games,Photography,77,,,,,,,
74,h1,0,1,LH,58,48,R,48,60,Video Games,Photography,,,,,,,,
74,h1,0,2,LH,51,58,L,48,60,Video Games,Photography,,,,,,,,
74,h1,0,3,LH,40,57,R,48,60,Video Games,Photography,,,,,,,,
74,h1,0,4,LH,29,51,X,48,60,Video Games,Photography,,,,,,,,
75,h1,1,0,LH,68,50,L,36,40,Documentaries,Travel,,32,50,58,43,L,56,60
75,h1,1,1,LH,61,52,R,36,40,Documentaries,Travel,,39,48,33,67,R,56,60
75,h1,1,2,LH,68,56,L,36,40,Documentaries,Travel,,32,44,55,59,L,56,60
75,h1,1,3,LH,56,69,L,36,40,Documentaries,Travel,,44,31,42,64,R,56,60
75,h1,1,4,LH,73,67,X,36,40,Documentaries,Travel,,27,33,66,59,X,56,60
76,h6,1,0,HL,72,85,L,40,20,Woodcarving,Classical Music,,28,15,55,61,R,60,52
76,h6,1,1,HL,47,84,L,40,20,Woodcarving,Classical Music,,53,16,60,43,L,60,52
76,h6,1,2,HL,66,72,L,40,20,Woodcarving,Classical Music,,34,28,65,62,L,60,52
76,h6,1,3,HL,47,79,R,40,20,Woodcarving,Classical Music,,53,21,53,41,R,60,52
76,h6,1,4,HL,60,76,X,40,20,Woodcarving,Classical Music,,40,24,61,57,X,60,52
76,h6,1,5,HL,48,76,X,40,20,Woodcarving,Classical Music,,52,24,59,67,X,60,52
76,h6,1,6,HL,45,84,X,40,20,Woodcarving,Classical Music,,55,16,42,45,X,60,52
76,h6,1,7,HL,76,76,X,40,20,Woodcarving,Classical Music,,24,24,60,45,X,60,52
76,h6,1,8,HL,60,77,X,40,20,Woodcarving,Classical Music,,40,23,64,53,X,60,52
77,h1,1,0,LH,54,25,R,48,60,Soccer (Football),Frisbee,,46,75,52,73,L,52,60
77,h1,1,1,LH,42,52,R,48,60,Soccer (Football),Frisbee,,58,48,49,64,L,52,60
77,h1,1,2,LH,49,42,L,48,60,Soccer (Football),Frisbee,,51,58,65,58,R,52,60
77,h1,1,3,LH,60,43,R,48,60,Soccer (Football),Frisbee,,40,57,52,61,R,52,60
77,h1,1,4,LH,71,49,X,48,60,Soccer (Football),Frisbee,,29,51,57,64,X,52,60
78,h6,0,0,LH,64,66,R,60,72,DJing,Botany,69,,,,,,,
78,h6,0,1,LH,57,79,R,60,72,DJing,Botany,,,,,,,,
78,h6,0,2,LH,60,65,L,60,72,DJing,Botany,these topics need tweets,,,,,,,
78,h6,0,3,LH,63,63,R,60,72,DJing,Botany,,,,,,,,
78,h6,0,4,LH,67,90,X,60,72,DJing,Botany,,,,,,,,
78,h6,0,5,LH,56,69,X,60,72,DJing,Botany,,,,,,,,
78,h6,0,6,LH,53,64,X,60,72,DJing,Botany,,,,,,,,
78,h6,0,7,LH,65,72,X,60,72,DJing,Botany,,,,,,,,
78,h6,0,8,LH,54,66,X,60,72,DJing,Botany,,,,,,,,
79,h1,0,0,LH,36,57,R,40,60,Aviation,Space Exploration,73,,,,,,,
79,h1,0,1,LH,29,52,R,40,60,Aviation,Space Exploration,,,,,,,,
79,h1,0,2,LH,47,60,R,40,60,Aviation,Space Exploration,,,,,,,,
79,h1,0,3,LH,45,56,L,40,60,Aviation,Space Exploration,,,,,,,,
79,h1,0,4,LH,31,50,X,40,60,Aviation,Space Exploration,,,,,,,,
