game_number,game_type,dislike_room,trial_num,mean_type,left_reward,right_reward,force_pos,left_mean,right_mean,left_topic,right_topic,ITI
55,h6,1,4,LH,56,54,X,60,52,Beekeeping,Jewelry Making,0
55,h6,1,5,LH,68,44,X,60,52,Beekeeping,Jewelry Making,0
55,h6,1,6,LH,66,42,X,60,52,Beekeeping,Jewelry Making,0
55,h6,1,7,LH,51,61,X,60,52,Beekeeping,Jewelry Making,0
55,h6,1,8,LH,52,58,X,60,52,Beekeeping,Jewelry Making,1.5
56,h1,1,0,LH,52,36,L,60,36,Boxing,Weightlifting,0
56,h1,1,1,LH,61,36,L,60,36,Boxing,Weightlifting,0
56,h1,1,2,LH,67,36,L,60,36,Boxing,Weightlifting,0
56,h1,1,3,LH,59,36,R,60,36,Boxing,Weightlifting,0
56,h1,1,4,LH,56,40,X,60,36,Boxing,Weightlifting,0.5
57,h6,1,0,HL,40,32,R,40,38,Shopping,Makeup,0
57,h6,1,1,HL,40,37,R,40,38,Shopping,Makeup,0
57,h6,1,2,HL,40,45,R,40,38,Shopping,Makeup,0
57,h6,1,3,HL,40,38,L,40,38,Shopping,Makeup,0
57,h6,1,4,HL,41,38,X,40,38,Shopping,Makeup,0
57,h6,1,5,HL,42,40,X,40,38,Shopping,Makeup,0
57,h6,1,6,HL,44,45,X,40,38,Shopping,Makeup,0
57,h6,1,7,HL,31,38,X,40,38,Shopping,Makeup,0
57,h6,1,8,HL,48,31,X,40,38,Shopping,Makeup,1
58,h1,1,0,HL,41,44,R,41,53,Poetry,Theater,0
58,h1,1,1,HL,41,57,R,41,53,Poetry,Theater,0
58,h1,1,2,HL,41,53,L,41,53,Poetry,Theater,0
58,h1,1,3,HL,41,58,R,41,53,Poetry,Theater,0
58,h1,1,4,HL,38,56,X,41,53,Poetry,Theater,1.5
59,h6,1,0,LH,41,48,L,40,48,Disney,Dogs,0
59,h6,1,1,LH,47,48,L,40,48,Disney,Dogs,0
59,h6,1,2,LH,40,48,R,40,48,Disney,Dogs,0
59,h6,1,3,LH,32,48,L,40,48,Disney,Dogs,0
59,h6,1,4,LH,36,50,X,40,48,Disney,Dogs,0
59,h6,1,5,LH,48,40,X,40,48,Disney,Dogs,0
59,h6,1,6,LH,46,38,X,40,48,Disney,Dogs,0
59,h6,1,7,LH,31,57,X,40,48,Disney,Dogs,0
59,h6,1,8,LH,32,54,X,40,48,Disney,Dogs,1.5
60,h1,0,0,HL,68,67,R,68,60,Robotics,Chess,0
60,h1,0,1,HL,68,60,L,68,60,Robotics,Chess,0
60,h1,0,2,HL,68,61,R,68,60,Robotics,Chess,0
60,h1,0,3,HL,68,52,R,68,60,Robotics,Chess,0
60,h1,0,4,HL,71,55,X,68,60,Robotics,Chess,0.5
61,h6,0,0,HL,60,68,R,60,62,Hockey,Hiking,0
61,h6,0,1,HL,60,63,R,60,62,Hockey,Hiking,0
61,h6,0,2,HL,60,55,R,60,62,Hockey,Hiking,0
61,h6,0,3,HL,60,62,L,60,62,Hockey,Hiking,0
61,h6,0,4,HL,59,62,X,60,62,Hockey,Hiking,0
61,h6,0,5,HL,58,60,X,60,62,Hockey,Hiking,0
61,h6,0,6,HL,56,55,X,60,62,Hockey,Hiking,0
61,h6,0,7,HL,69,62,X,60,62,Hockey,Hiking,0
61,h6,0,8,HL,52,69,X,60,62,Hockey,Hiking,1.5
62,h1,0,0,HL,47,68,R,47,59,Off-Roading,Rock Climbing,0
62,h1,0,1,HL,47,55,R,47,59,Off-Roading,Rock Climbing,0
62,h1,0,2,HL,47,59,L,47,59,Off-Roading,Rock Climbing,0
62,h1,0,3,HL,47,54,R,47,59,Off-Roading,Rock Climbing,0
62,h1,0,4,HL,50,56,X,47,59,Off-Roading,Rock Climbing,1
63,h6,0,0,HL,85,68,R,85,61,Farming,Gardening,0
63,h6,0,1,HL,85,62,R,85,61,Farming,Gardening,0
63,h6,0,2,HL,85,53,R,85,61,Farming,Gardening,0
63,h6,0,3,HL,85,61,L,85,61,Farming,Gardening,0
63,h6,0,4,HL,92,67,X,85,61,Farming,Gardening,0
63,h6,0,5,HL,98,64,X,85,61,Farming,Gardening,0
63,h6,0,6,HL,79,80,X,85,61,Farming,Gardening,0
63,h6,0,7,HL,77,79,X,85,61,Farming,Gardening,0
63,h6,0,8,HL,82,58,X,85,61,Farming,Gardening,1.5
64,h1,0,0,HL,32,47,R,32,40,Crocheting,Journaling,0
64,h1,0,1,HL,32,41,R,32,40,Crocheting,Journaling,0
64,h1,0,2,HL,32,40,L,32,40,Crocheting,Journaling,0
64,h1,0,3,HL,32,32,R,32,40,Crocheting,Journaling,0
64,h1,0,4,HL,35,35,X,32,40,Crocheting,Journaling,0.5
65,h6,0,0,LH,68,61,L,65,61,Swimming,Cliff Diving,0
65,h6,0,1,LH,57,61,L,65,61,Swimming,Cliff Diving,0
65,h6,0,2,LH,70,61,L,65,61,Swimming,Cliff Diving,0
65,h6,0,3,LH,65,61,R,65,61,Swimming,Cliff Diving,0
65,h6,0,4,LH,74,56,X,65,61,Swimming,Cliff Diving,0
65,h6,0,5,LH,63,67,X,65,61,Swimming,Cliff Diving,0
65,h6,0,6,LH,72,55,X,65,61,Swimming,Cliff Diving,0
65,h6,0,7,LH,56,72,X,65,61,Swimming,Cliff Diving,0
65,h6,0,8,LH,63,54,X,65,61,Swimming,Cliff Diving,1.5
66,h1,0,0,LH,68,58,L,60,58,Skateboarding,Skydiving,0
66,h1,0,1,LH,52,58,L,60,58,Skateboarding,Skydiving,0
66,h1,0,2,LH,60,58,L,60,58,Skateboarding,Skydiving,0
66,h1,0,3,LH,60,58,R,60,58,Skateboarding,Skydiving,0
66,h1,0,4,LH,61,59,X,60,58,Skateboarding,Skydiving,1
67,h6,0,0,HL,36,67,R,36,60,Parkour,Cheerleading,0
67,h6,0,1,HL,36,61,R,36,60,Parkour,Cheerleading,0
67,h6,0,2,HL,36,52,R,36,60,Parkour,Cheerleading,0
67,h6,0,3,HL,36,60,L,36,60,Parkour,Cheerleading,0
67,h6,0,4,HL,43,66,X,36,60,Parkour,Cheerleading,0
67,h6,0,5,HL,49,53,X,36,60,Parkour,Cheerleading,0
67,h6,0,6,HL,30,69,X,36,60,Parkour,Cheerleading,0
67,h6,0,7,HL,28,68,X,36,60,Parkour,Cheerleading,0
67,h6,0,8,LH,33,47,X,36,60,Parkour,Cheerleading,1
68,h1,0,0,HL,59,56,R,59,47,Ice Skating,Gymnastics,0
68,h1,0,1,HL,59,43,R,59,47,Ice Skating,Gymnastics,0
68,h1,0,2,HL,59,47,L,59,47,Ice Skating,Gymnastics,0
68,h1,0,3,HL,59,42,R,59,47,Ice Skating,Gymnastics,0
68,h1,0,4,HL,62,44,X,59,47,Ice Skating,Gymnastics,0.5
69,h6,0,0,LH,59,52,L,60,52,Snowboarding,Paintball,0
69,h6,0,1,LH,53,52,L,60,52,Snowboarding,Paintball,0
69,h6,0,2,LH,60,52,R,60,52,Snowboarding,Paintball,0
69,h6,0,3,LH,68,52,L,60,52,Snowboarding,Paintball,0
69,h6,0,4,LH,64,50,X,60,52,Snowboarding,Paintball,0
69,h6,0,5,LH,52,60,X,60,52,Snowboarding,Paintball,0
69,h6,0,6,LH,54,62,X,60,52,Snowboarding,Paintball,0
69,h6,0,7,LH,69,43,X,60,52,Snowboarding,Paintball,0
69,h6,0,8,LH,68,46,X,60,52,Snowboarding,Paintball,1.5
70,h1,0,0,HL,40,48,R,40,42,Kayaking,Camping,0
70,h1,0,1,HL,40,43,R,40,42,Kayaking,Camping,0
70,h1,0,2,HL,40,35,R,40,42,Kayaking,Camping,0
70,h1,0,3,HL,40,42,L,40,42,Kayaking,Camping,0
70,h1,0,4,HL,39,42,X,40,42,Kayaking,Camping,1.5
71,h6,0,0,LH,46,41,L,53,41,Pool,Aquariums,0
71,h6,0,1,LH,62,41,L,53,41,Pool,Aquariums,0
71,h6,0,2,LH,53,41,R,53,41,Pool,Aquariums,0
71,h6,0,3,LH,51,41,L,53,41,Pool,Aquariums,0
71,h6,0,4,LH,57,37,X,53,41,Pool,Aquariums,0
71,h6,0,5,LH,52,50,X,53,41,Pool,Aquariums,0
71,h6,0,6,LH,63,33,X,53,41,Pool,Aquariums,0
71,h6,0,7,LH,60,36,X,53,41,Pool,Aquariums,0
71,h6,0,8,LH,37,51,X,53,41,Pool,Aquariums,1
72,h1,0,0,LH,72,40,L,64,40,Violin,Drums,0
72,h1,0,1,LH,63,40,L,64,40,Violin,Drums,0
72,h1,0,2,LH,57,40,L,64,40,Violin,Drums,0
72,h1,0,3,LH,65,40,R,64,40,Violin,Drums,0
72,h1,0,4,LH,68,36,X,64,40,Violin,Drums,0.5
73,h6,0,0,LH,39,48,L,40,48,Puzzles,Geology,0
73,h6,0,1,LH,33,48,L,40,48,Puzzles,Geology,0
73,h6,0,2,LH,40,48,R,40,48,Puzzles,Geology,0
73,h6,0,3,LH,48,48,L,40,48,Puzzles,Geology,0
73,h6,0,4,LH,44,46,X,40,48,Puzzles,Geology,0
73,h6,0,5,LH,32,56,X,40,48,Puzzles,Geology,0
73,h6,0,6,LH,34,58,X,40,48,Puzzles,Geology,0
73,h6,0,7,LH,49,39,X,40,48,Puzzles,Geology,0
73,h6,0,8,LH,48,42,X,40,48,Puzzles,Geology,1.5
74,h1,0,0,HL,35,47,R,35,39,Welding,Sculpting,0
74,h1,0,1,HL,35,39,L,35,39,Welding,Sculpting,0
74,h1,0,2,HL,35,32,R,35,39,Welding,Sculpting,0
74,h1,0,3,HL,35,38,R,35,39,Welding,Sculpting,0
74,h1,0,4,HL,33,40,X,35,39,Welding,Sculpting,1
75,h6,0,0,LH,60,61,L,57,61,Food,Anime,0
75,h6,0,1,LH,49,61,L,57,61,Food,Anime,0
75,h6,0,2,LH,62,61,L,57,61,Food,Anime,0
75,h6,0,3,LH,57,61,R,57,61,Food,Anime,0
75,h6,0,4,LH,66,56,X,57,61,Food,Anime,0
75,h6,0,5,LH,55,67,X,57,61,Food,Anime,0
75,h6,0,6,LH,64,55,X,57,61,Food,Anime,0
75,h6,0,7,LH,48,72,X,57,61,Food,Anime,0
75,h6,0,8,LH,55,54,X,57,61,Food,Anime,0.5
76,h1,0,0,LH,48,64,L,40,64,Couponing,Geocaching,0
76,h1,0,1,LH,39,64,L,40,64,Couponing,Geocaching,0
76,h1,0,2,LH,33,64,L,40,64,Couponing,Geocaching,0
76,h1,0,3,LH,41,64,R,40,64,Couponing,Geocaching,0
76,h1,0,4,LH,44,60,X,40,64,Couponing,Geocaching,1
77,h6,0,0,LH,50,40,L,42,40,Interior Design,Thrifting,0
77,h6,0,1,LH,34,40,L,42,40,Interior Design,Thrifting,0
77,h6,0,2,LH,42,40,L,42,40,Interior Design,Thrifting,0
77,h6,0,3,LH,42,40,R,42,40,Interior Design,Thrifting,0
77,h6,0,4,LH,43,41,X,42,40,Interior Design,Thrifting,0
77,h6,0,5,LH,48,45,X,42,40,Interior Design,Thrifting,0
77,h6,0,6,LH,37,34,X,42,40,Interior Design,Thrifting,0
77,h6,0,7,LH,51,48,X,42,40,Interior Design,Thrifting,0
77,h6,0,8,LH,34,48,X,42,40,Interior Design,Thrifting,0.5
78,h1,0,0,HL,39,43,R,39,35,Graphic Design,Calligraphy,0
78,h1,0,1,HL,39,35,L,39,35,Graphic Design,Calligraphy,0
78,h1,0,2,HL,39,28,R,39,35,Graphic Design,Calligraphy,0
78,h1,0,3,HL,39,34,R,39,35,Graphic Design,Calligraphy,0
78,h1,0,4,HL,37,36,X,39,35,Graphic Design,Calligraphy,0.5
79,h6,0,0,LH,54,73,L,61,73,Prepping,Shakespeare,0
79,h6,0,1,LH,70,73,L,61,73,Prepping,Shakespeare,0
79,h6,0,2,LH,61,73,R,61,73,Prepping,Shakespeare,0
79,h6,0,3,LH,59,73,L,61,73,Prepping,Shakespeare,0
79,h6,0,4,LH,65,69,X,61,73,Prepping,Shakespeare,0
79,h6,0,5,LH,60,82,X,61,73,Prepping,Shakespeare,0
79,h6,0,6,LH,71,65,X,61,73,Prepping,Shakespeare,0
79,h6,0,7,LH,68,68,X,61,73,Prepping,Shakespeare,0
79,h6,0,8,LH,45,83,X,61,73,Prepping,Shakespeare,1.5
