trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration,,,
203,sad,low,high,1.5,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
204,angry,high,low,1.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
205,sad,low,high,1,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
206,angry,high,low,0.5,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,high
207,sad,low,low,1.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
208,sad,low,low,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
209,angry,high,high,1,0.90625,32,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,high
210,angry,high,high,1.5,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
211,sad,low,low,1,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
212,angry,high,high,1.5,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
213,angry,high,high,1,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
214,sad,low,low,0.5,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
215,sad,high,high,1.5,0.90625,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
216,angry,high,low,0.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
217,sad,low,high,1,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
218,angry,high,low,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
219,sad,low,high,1.5,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
220,angry,high,low,1,0.90625,32,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
221,angry,high,high,1.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,high
222,sad,low,low,1,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
223,sad,low,high,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,low
224,sad,high,low,1.5,0.90625,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
225,angry,high,high,1,0.90625,32,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
226,angry,high,low,0.5,0.90625,32,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,high
227,sad,low,high,1.5,0.90625,32,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
228,angry,high,low,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
229,sad,low,high,1,0.90625,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
230,angry,high,high,0.5,0.90625,32,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
231,sad,high,low,1,0.90625,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,high
232,sad,low,low,0.5,0.90625,32,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
233,angry,low,high,1.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
234,sad,high,high,0.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,high
235,angry,low,low,1,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,low
236,angry,low,high,0.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
237,sad,high,low,1.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,high
238,angry,low,high,1,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,low
239,sad,high,low,0.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
240,angry,low,low,1.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
241,sad,high,high,1,0.09375,32,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,high
242,angry,low,low,0.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
243,sad,high,high,1.5,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
244,angry,high,low,1,0.09375,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
245,sad,high,high,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
246,sad,high,high,0.5,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,high
247,angry,low,low,1,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,low
248,sad,high,high,1.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,high
249,angry,low,low,0.5,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,low
250,sad,high,low,1.5,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
251,angry,high,high,1.5,0.09375,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
252,angry,low,high,1,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
253,sad,high,low,0.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
254,sad,high,low,0.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,high
255,angry,low,high,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
256,sad,high,low,1,0.09375,32,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,high
257,sad,high,high,0.5,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
258,angry,low,low,1.5,0.09375,32,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
259,sad,high,low,1,0.09375,32,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
260,angry,low,high,1.5,0.09375,32,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
261,sad,high,high,1,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,high
262,angry,high,low,0.5,0.09375,32,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
263,sad,high,low,1,0.09375,32,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,high
264,angry,low,high,0.5,0.09375,32,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
265,sad,low,low,1.5,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
266,angry,high,high,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
267,sad,low,low,0.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
268,sad,high,high,1,0.708333333,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,high
269,angry,high,low,0.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
270,sad,high,high,1.5,0.708333333,72,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,high
271,angry,high,low,1.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
272,sad,low,high,0.5,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
273,angry,low,low,1.5,0.708333333,72,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,low
274,sad,low,high,0.5,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
275,angry,high,low,1,0.708333333,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
276,sad,low,high,0.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,low
277,angry,high,low,1.5,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
278,angry,low,low,1,0.708333333,72,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,low
279,sad,low,high,1.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
280,sad,low,low,1,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
281,angry,high,high,0.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,high
282,angry,high,low,1.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
283,sad,low,high,0.5,0.708333333,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,2.5,,,low
284,angry,high,low,1,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,high
285,angry,low,high,1,0.708333333,72,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,low
286,sad,low,low,0.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,low
287,angry,high,high,1.5,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
288,sad,high,low,0.5,0.708333333,72,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,high
289,sad,low,high,1.5,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
290,angry,high,low,0.5,0.708333333,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
291,sad,low,low,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
292,sad,high,high,0.5,0.708333333,72,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
293,angry,high,low,1.5,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,2.5,,,high
294,sad,high,high,1,0.708333333,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,high
295,angry,high,low,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
296,angry,high,high,0.5,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
297,sad,low,low,1.5,0.708333333,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,low
298,angry,high,high,0.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,high
299,sad,low,high,1,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
300,angry,low,high,0.5,0.708333333,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
301,sad,low,low,1.5,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
302,angry,high,high,1.5,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,high
303,sad,high,low,1,0.708333333,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
304,sad,low,low,0.5,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
305,angry,high,high,1,0.708333333,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,high
306,sad,low,low,1.5,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
307,angry,low,high,0.5,0.708333333,72,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,low
308,angry,high,low,1.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
309,sad,high,high,1.5,0.708333333,72,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
310,angry,high,low,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,2.5,,,high
311,angry,low,high,1.5,0.708333333,72,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,low
312,sad,low,high,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
313,angry,high,high,0.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,high
314,sad,high,low,1.5,0.708333333,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
315,sad,low,high,0.5,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,2.5,,,low
316,angry,high,low,1,0.708333333,72,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,2.5,,,high
317,sad,high,low,0.5,0.708333333,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,2.5,,,high
318,angry,high,high,1.5,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,2.5,,,high
319,angry,high,low,1,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,high
320,sad,low,high,1.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,2.5,,,low
321,angry,high,low,0.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,2.5,,,high
322,angry,low,high,1,0.708333333,72,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,2.5,,,low
323,sad,low,low,0.5,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,2.5,,,low
324,sad,high,low,1,0.708333333,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,2.5,,,high
325,sad,low,low,1,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,2.5,,,low
326,angry,low,high,0.5,0.708333333,72,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,2.5,,,low
327,sad,low,low,1.5,0.708333333,72,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,2.5,,,low
328,sad,low,high,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,2.5,,,low
329,angry,high,low,1.5,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,2.5,,,high
330,angry,low,high,1,0.708333333,72,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,2.5,,,low
331,sad,low,high,0.5,0.708333333,72,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,2.5,,,low
332,sad,low,low,1,0.708333333,72,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,2.5,,,low
333,angry,low,high,1.5,0.708333333,72,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,2.5,,,low
334,angry,high,high,1,0.708333333,72,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,2.5,,,high
335,sad,high,high,0.5,0.708333333,72,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,2.5,,,high
336,angry,high,low,1.5,0.708333333,72,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,2.5,,,high
